{L1} 大家晚上好，我并没有静音，只是没有发出声音。
{L2} 自己静音了，晚上好。
{L3} 你能听到吗？啊，太好了太好了。
{L4} 听到了！是的，有点久违了。
{L5} 所以假装没有声音。
{L6} 是的，我没有说话。
{L7} 这也有点<---。
{L8} 请稍等，因为有空间。
{L9} 好久不见了。
{L10} 中野阿兹喵，晚上好。
{L11} 谢谢你的超级留言。
{L12} 谢谢你的超级留言。
{L13} 最后一次是...在M3之前吗？
{L14} 怎么回事？去看看。
{L15} 自己的直播存档。
{L16} 公开了很多列表。
{L17} 改回了限定公开。
{L18} 从顶部很难找到。
{L19} 是9月吗？是9月吗？啊，对对。
{L20} 玩了仓鼠的游戏。
{L21} 非常可爱的烹饪游戏。
{L22} 大家玩得开心吗？
{L23} 是的，是的，不是熊。
{L24} 仓鼠做饭。
{L25} 送到朋友家。
{L26} 玩了一个可爱的游戏。
{L27} 非常有趣的游戏。
{L28} 捉迷藏也很重要。
{L29} 国王模拟器，今天呢，
{L30} 虽然有考虑要说什么，
{L31} 但只是随意地聊聊这些。
{L32} 所以是无计划的闲聊。
{L33} 啊，似乎不能说话。
{L34} 昨天有看的人吗？
{L35} TRPG的企划《ほしならび》的最终回。
{L36} 做到早上4点半？嗯？4点？
{L37} 进行了最终回。
{L38} 大约1年？8个月？
{L39} 加上准备的话近2年。
{L40} 是TRPG的企划。
{L41} 感觉很失落，啊，结束了。
{L42} 感觉很强烈。
{L43} 结束得很好。
{L44} 可能有人会看存档。
{L45} 所以不谈内容。
{L46} 有种失落感，虽然很开心。
{L47} 啊，已经结束了吗？
{L48} 今天过得很迷茫。
{L49} TRPG的书。
{L50} 直播结束后，后谈。
{L51} 感想会，像是辛苦了。
{L52} 慢慢地感想战。
{L53} 这里是这样的吗？
{L54} 背景音乐大吗？麦克风可能小。
{L55} 背景音乐小吗？和上次没变。
{L56} 如果有问题请告诉我。
{L57} 啊，啊，啊，果然有点小。
{L58} 声音背景音乐太大了，不是吗？没事。
{L59} 嗯嗯，声音也稍微大一点。
{L60} 那这样呢？啊~啊~啊~。
{L61} 啊，但有点小，稍等。
{L62} 啊~啊~啊~这样可以吗？
